CustomerID,Lookalike1,Score1,Lookalike2,Score2,Lookalike3,Score3
C0001,C0069,0.936,C0072,0.862,C0183,0.823
C0002,C0036,0.862,C0062,0.849,C0055,0.846
C0003,C0144,0.786,C0197,0.784,C0166,0.771
C0004,C0075,0.977,C0065,0.929,C0113,0.868
C0005,C0085,0.899,C0130,0.868,C0007,0.856
C0006,C0185,0.914,C0196,0.897,C0079,0.864
C0007,C0085,0.943,C0005,0.856,C0197,0.824
C0008,C0024,0.831,C0109,0.818,C0194,0.774
C0009,C0180,0.979,C0083,0.978,C0097,0.972
C0010,C0111,0.928,C0029,0.92,C0142,0.892
C0011,C0153,0.823,C0099,0.759,C0013,0.75
C0012,C0104,0.89,C0059,0.885,C0163,0.883
C0013,C0046,0.97,C0099,0.96,C0188,0.901
C0014,C0033,0.983,C0060,0.979,C0043,0.954
C0015,C0014,0.952,C0128,0.951,C0123,0.945
C0016,C0011,0.716,C0126,0.629,C0044,0.604
C0017,C0065,0.896,C0075,0.89,C0122,0.854
C0018,C0114,0.88,C0168,0.842,C0087,0.841
C0019,C0119,0.842,C0047,0.823,C0161,0.816
C0020,C0140,0.91,C0080,0.892,C0112,0.862
